Customer_ID,City,Device_Brand,Plan,Tenure_Months,Repairs_Last_12M,Support_Contacts,Days_Since_Last_Service,Satisfaction_Score,Avg_Response_Hours,Annual_Spend,Warranty_Active,Discount_Used,Churn
C100001,Hyderabad,ASUS,Standard,30,3,0,43,4.1,5.8,3445.0,No,Yes,0
C100002,Delhi,Lenovo,Standard,29,0,3,80,3.4,19.8,4187.0,Yes,No,0
C100003,Mumbai,ASUS,Premium,11,2,0,10,4.2,14.1,2449.0,Yes,No,0
C100004,Chennai,Acer,Standard,39,0,3,38,4.6,19.4,6181.0,Yes,No,1
C100005,Chennai,Acer,Basic,34,4,4,34,4.3,30.2,3694.0,No,No,0
C100006,Pune,ASUS,Basic,37,3,2,25,3.5,21.8,,Yes,Yes,0
C100007,Hyderabad,Lenovo,Standard,23,1,3,52,2.7,30.2,3818.0,No,No,1
C100008,Delhi,Acer,Standard,43,3,2,57,2.7,11.3,4919.0,No,Yes,0
C100009,Bengaluru,HP,Basic,19,1,1,57,2.9,9.8,2424.0,No,Yes,0
C100010,Hyderabad,ASUS,Standard,39,3,1,18,3.7,18.2,800.0,No,Yes,0
C100011,Mumbai,Acer,Standard,10,1,2,1,4.0,17.6,5670.0,No,No,0
C100012,Pune,Acer,Premium,12,1,4,52,2.2,16.1,800.0,No,No,1
C100013,Delhi,Lenovo,Standard,26,3,3,31,3.0,8.4,6423.0,Yes,Yes,0
C100014,Delhi,ASUS,Standard,27,2,1,96,3.7,30.0,7761.0,Yes,No,0
C100015,Delhi,Dell,Basic,36,5,1,98,2.7,14.4,4488.0,No,No,0
C100016,Delhi,Dell,Standard,15,4,2,101,3.9,32.3,7269.0,Yes,Yes,0
C100017,Mumbai,Lenovo,Basic,42,4,3,19,3.2,18.1,4754.0,No,No,0
C100018,Hyderabad,Acer,Standard,16,1,3,61,2.8,24.5,7839.0,Yes,No,1
C100019,Pune,ASUS,Standard,26,2,1,69,3.5,23.6,3933.0,No,No,0
C100020,Chennai,Lenovo,Basic,45,2,0,66,3.9,9.8,800.0,Yes,No,0
C100021,Mumbai,Acer,Basic,26,2,1,35,,21.7,4648.0,No,No,0
C100022,Chennai,Lenovo,Basic,33,2,1,81,3.3,37.3,8045.0,Yes,Yes,0
C100023,Bengaluru,ASUS,Premium,44,6,0,45,3.9,20.5,5816.0,No,No,0
C100024,Pune,Acer,Standard,47,2,4,49,2.8,27.0,3821.0,Yes,Yes,1
C100025,Delhi,Lenovo,Basic,24,1,2,2,2.0,24.9,5425.0,No,Yes,0
C100026,Mumbai,ASUS,Premium,21,3,4,63,2.1,21.1,6645.0,Yes,Yes,1
C100027,Chennai,Dell,Standard,10,7,2,38,3.1,19.9,4637.0,No,No,0
C100028,Delhi,ASUS,Standard,26,0,0,58,,23.5,9790.0,No,No,0
C100029,Mumbai,Dell,Premium,45,0,0,52,3.2,25.6,3817.0,No,No,0
C100030,Chennai,HP,Basic,24,1,6,50,5.0,4.5,6705.0,No,Yes,1
C100031,Chennai,ASUS,Basic,17,2,1,44,2.3,20.5,6248.0,No,No,1
C100032,Bengaluru,Acer,Standard,6,4,1,67,3.2,16.2,3470.0,No,Yes,0
C100033,Hyderabad,ASUS,Basic,19,3,3,39,5.0,14.1,3994.0,Yes,No,0
C100034,Mumbai,Acer,Standard,12,3,2,4,3.9,31.0,6734.0,No,Yes,0
C100035,Pune,Acer,Basic,47,1,1,61,3.2,10.7,5075.0,Yes,No,1
C100036,Hyderabad,HP,Basic,26,2,1,22,3.4,4.1,5442.0,No,No,0
C100037,Pune,Dell,Basic,7,1,0,8,3.9,26.0,1692.0,Yes,No,0
C100038,Delhi,Dell,Standard,4,2,2,16,5.0,3.8,6046.0,Yes,No,0
C100039,Bengaluru,HP,Basic,41,1,2,53,3.0,1.0,5346.0,No,No,0
C100040,Mumbai,Dell,Basic,45,1,1,42,2.8,27.1,4679.0,Yes,No,0
C100041,Hyderabad,Lenovo,Premium,37,3,3,1,2.3,19.6,5486.0,Yes,No,0
C100042,Delhi,Acer,Basic,6,0,1,34,3.6,22.7,4022.0,Yes,No,0
C100043,Delhi,ASUS,Basic,5,3,1,78,2.2,13.6,3675.0,No,No,0
C100044,Chennai,Lenovo,Basic,10,2,0,32,3.1,4.2,4340.0,Yes,No,0
C100045,Hyderabad,ASUS,Basic,37,2,2,40,2.7,6.1,3918.0,Yes,No,0
C100046,Pune,ASUS,Basic,37,5,0,74,4.5,15.3,8943.0,No,No,0
C100047,Chennai,ASUS,Standard,41,0,5,67,3.0,5.3,6533.0,No,No,0
C100048,Pune,Lenovo,Basic,5,2,1,74,3.9,21.1,2960.0,Yes,Yes,0
C100049,Delhi,HP,Premium,8,1,2,1,2.1,,8669.0,No,No,0
C100050,Delhi,ASUS,Premium,44,0,0,94,,19.9,3978.0,Yes,No,0
C100051,Delhi,HP,Basic,45,0,1,63,2.4,19.6,4856.0,No,No,0
C100052,Bengaluru,Lenovo,Basic,35,4,0,114,3.1,21.9,6505.0,Yes,No,0
C100053,Chennai,Dell,Basic,6,3,1,23,5.0,23.0,1057.0,Yes,Yes,0
C100054,Chennai,Acer,Standard,4,1,3,1,4.3,14.6,4350.0,Yes,No,0
C100055,Chennai,Acer,Basic,3,6,2,45,3.4,19.8,3711.0,No,No,0
C100056,Hyderabad,Dell,Premium,34,2,5,37,5.0,20.4,5190.0,Yes,Yes,0
C100057,Mumbai,HP,Standard,41,3,5,63,2.7,1.0,5503.0,No,No,0
C100058,Hyderabad,Lenovo,Premium,31,1,2,75,4.5,24.5,,No,Yes,0
C100059,Delhi,Lenovo,Standard,13,0,3,43,2.1,19.5,4565.0,No,No,0
C100060,Delhi,ASUS,Premium,37,2,1,38,3.3,23.6,6824.0,No,No,1
C100061,Pune,HP,Basic,3,1,2,60,2.3,5.1,5373.0,Yes,No,1
C100062,Delhi,ASUS,Standard,40,0,3,38,3.7,14.8,4879.0,Yes,Yes,0
C100063,Chennai,Lenovo,Basic,43,3,4,35,3.6,7.1,5081.0,Yes,Yes,0
C100064,Pune,ASUS,Premium,35,1,0,74,3.2,25.4,8288.0,No,Yes,0
C100065,Chennai,HP,Standard,43,2,2,80,4.5,3.9,5128.0,Yes,No,0
C100066,Bengaluru,Dell,Premium,29,5,2,75,3.0,8.7,3823.0,No,No,0
C100067,Pune,Dell,Basic,23,0,5,40,3.8,23.3,1173.0,No,No,0
C100068,Chennai,HP,Premium,16,0,1,1,4.2,11.7,2076.0,No,No,0
C100069,Hyderabad,ASUS,Standard,45,0,3,41,2.2,8.7,3913.0,No,Yes,0
C100070,Chennai,Dell,Standard,34,4,3,24,2.8,27.1,4594.0,Yes,Yes,0
C100071,Delhi,HP,Premium,10,2,1,41,3.5,27.5,3744.0,Yes,No,0
C100072,Bengaluru,Dell,Standard,46,1,1,26,4.1,25.2,5467.0,No,No,0
C100073,Chennai,ASUS,Standard,3,4,2,44,4.8,26.5,3720.0,Yes,Yes,0
C100074,Hyderabad,Acer,Standard,29,2,3,16,3.3,15.7,3062.0,No,No,1
C100075,Delhi,Acer,Basic,10,3,2,9,3.2,16.0,5964.0,No,No,0
C100076,Chennai,Acer,Basic,32,1,0,79,2.7,11.5,7402.0,Yes,Yes,0
C100077,Bengaluru,Acer,Basic,20,1,1,18,3.8,19.7,2696.0,Yes,Yes,0
C100078,Bengaluru,Acer,Basic,21,2,4,45,,12.7,5263.0,Yes,No,0
C100079,Mumbai,Dell,Premium,33,4,2,72,3.3,13.7,1180.0,Yes,Yes,0
C100080,Delhi,ASUS,Standard,37,1,1,71,3.4,24.0,1998.0,No,No,0
C100081,Pune,Acer,Basic,19,5,0,67,4.0,29.8,3681.0,No,No,1
C100082,Chennai,Acer,Standard,48,2,0,53,3.0,22.0,6956.0,Yes,No,0
C100083,Hyderabad,HP,Standard,24,1,0,65,2.8,35.9,3320.0,No,No,0
C100084,Delhi,ASUS,Standard,8,2,2,83,3.9,10.9,3249.0,Yes,Yes,0
C100085,Mumbai,HP,Premium,1,0,5,57,1.0,1.0,4869.0,No,No,1
C100086,Delhi,Dell,Premium,10,1,5,1,3.0,25.1,4870.0,No,Yes,0
C100087,Hyderabad,ASUS,Standard,34,2,1,30,2.5,10.3,3308.0,Yes,No,0
C100088,Bengaluru,HP,Basic,26,3,0,64,4.6,15.3,8574.0,No,No,0
C100089,Delhi,Dell,Standard,17,6,1,27,3.1,1.0,4296.0,No,No,0
C100090,Delhi,Acer,Standard,24,2,1,90,3.0,9.0,5016.0,Yes,No,1
C100091,Chennai,HP,Standard,41,1,3,43,3.5,3.0,4037.0,Yes,Yes,0
C100092,Delhi,ASUS,Standard,28,1,0,47,3.0,13.7,5636.0,No,No,0
C100093,Pune,Lenovo,Standard,3,2,0,76,3.1,14.1,7146.0,Yes,No,0
C100094,Chennai,Dell,Basic,3,1,4,40,3.6,18.9,7961.0,Yes,Yes,0
C100095,Pune,ASUS,Basic,24,2,0,50,,30.4,3352.0,Yes,Yes,0
C100096,Bengaluru,Lenovo,Basic,20,4,2,70,3.1,24.8,6892.0,No,No,1
C100097,Bengaluru,HP,Basic,41,2,2,4,2.6,1.8,5844.0,Yes,No,0
C100098,Delhi,Acer,Basic,28,2,1,37,2.5,24.1,6652.0,No,Yes,0
C100099,Mumbai,Lenovo,Standard,37,2,0,68,3.6,19.1,4625.0,Yes,Yes,0
C100100,Hyderabad,Dell,Standard,29,0,1,47,3.8,17.0,4445.0,Yes,No,0
C100101,Delhi,Acer,Basic,17,0,0,86,2.2,17.8,6578.0,No,No,0
C100102,Bengaluru,Lenovo,Standard,32,1,4,1,4.2,20.0,6614.0,Yes,No,0
C100103,Delhi,Acer,Standard,30,4,0,1,4.2,11.1,7775.0,No,Yes,0
C100104,Hyderabad,ASUS,Basic,35,0,3,67,4.4,16.2,5177.0,Yes,No,0
C100105,Delhi,Acer,Premium,10,1,2,69,3.8,29.8,,No,No,0
C100106,Delhi,Acer,Premium,31,0,2,40,4.1,11.0,800.0,Yes,No,0
C100107,Delhi,HP,Standard,14,1,1,56,5.0,7.7,1739.0,No,No,0
C100108,Mumbai,HP,Standard,38,5,2,66,,17.4,4051.0,Yes,No,0
C100109,Chennai,Lenovo,Basic,39,2,2,22,2.6,6.7,2708.0,No,No,0
C100110,Delhi,ASUS,Premium,30,2,0,25,2.1,1.0,6347.0,Yes,Yes,0
C100111,Bengaluru,Lenovo,Standard,46,1,1,50,5.0,14.6,2311.0,Yes,Yes,0
C100112,Delhi,HP,Premium,26,3,4,70,5.0,32.5,3848.0,No,Yes,0
C100113,Mumbai,Acer,Standard,2,3,2,12,2.7,17.6,3922.0,Yes,Yes,0
C100114,Chennai,ASUS,Basic,30,0,1,39,2.8,19.8,7089.0,Yes,No,0
C100115,Mumbai,ASUS,Basic,38,5,2,38,3.2,1.0,3644.0,No,Yes,1
C100116,Mumbai,HP,Standard,5,0,1,57,4.6,22.4,5660.0,No,No,0
C100117,Hyderabad,Acer,Standard,6,1,4,45,2.3,18.9,5172.0,No,Yes,0
C100118,Hyderabad,Lenovo,Basic,14,2,3,30,1.7,11.4,6516.0,No,No,0
C100119,Bengaluru,Lenovo,Standard,41,4,1,80,5.0,19.8,6415.0,Yes,No,1
C100120,Hyderabad,HP,Premium,26,3,4,30,3.8,19.7,4736.0,Yes,Yes,0
C100121,Chennai,Dell,Standard,47,3,1,37,3.9,7.4,1577.0,No,No,0
C100122,Delhi,HP,Standard,42,2,1,1,3.3,21.3,4360.0,Yes,No,0
C100123,Mumbai,Lenovo,Basic,27,2,0,25,3.9,,4762.0,Yes,No,0
C100124,Chennai,ASUS,Standard,33,1,1,59,2.1,15.7,5343.0,Yes,No,0
C100125,Pune,ASUS,Basic,16,4,1,54,2.7,9.3,3399.0,Yes,No,0
C100126,Mumbai,Dell,Premium,5,2,1,62,3.6,16.2,6968.0,Yes,No,0
C100127,Hyderabad,Acer,Basic,20,4,2,60,1.5,26.5,4826.0,Yes,No,1
